Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bulgaria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6999969482422
Belgium,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Austria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Australia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Antigua and Barbuda,95.7630462646484,95.9406509399414,96.11813354492192,96.2949447631836,96.4703903198242,96.643798828125,96.81448364257808,96.9817733764648,97.1449813842773,97.30335235595699,97.6892623901367,97.7852554321289,100.0,97.9568252563477,98.03710174560551,92.1999969482422,100.0,100.0,100.0,98.4812774658203,98.5972366333008,94.5520172119141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Argentina,92.1548004150391,92.4921875,92.8294525146484,93.16604614257808,93.5012741088867,93.83446502685551,94.1649398803711,94.4920120239258,94.81500244140629,95.1331558227539,95.7832870483398,95.5110626220703,96.2288665771484,96.44263458251949,96.65350341796879,96.8638458251953,97.07605743408199,97.2927932739258,97.51675415039058,97.7506561279297,98.8199996948242,99.0953521728516,99.22998046875,99.3426742553711,100.0,99.6253890991211,99.84957885742192,100.0,99.9895782470703,100.0,100.0
United Arab Emirates,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Andorra,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Albania,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9000015258789,100.0,99.9499969482422,99.9800033569336,99.8899993896484,99.8899993896484,100.0,100.0,100.0
Curacao,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99740600585942,99.9841156005859,99.9549026489258,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
